Comment,Designator,Footprint,LCSC
Battery,BT1,flobs-KiCad-footprints:BatteryHolder_BHC-18650-1P-2P,
470μF,C1,Capacitor_SMD:CP_Elec_6.3x7.7,C335982
22μF,C2,Capacitor_SMD:C_0805_2012Metric,C45783
100nF,"C3,C4,C7,C11,C12",Capacitor_SMD:C_0805_2012Metric,C49678
4.7μF,"C5,C6",Capacitor_SMD:C_0805_2012Metric,C1779
47pF,"C8,C9",Capacitor_SMD:C_0805_2012Metric,C14857
CHARGING,D1,LED_SMD:LED_0805_2012Metric,C84256
TX,D2,LED_SMD:LED_0805_2012Metric,C84256
RX,D3,LED_SMD:LED_0805_2012Metric,C2297
Conn_01x03_Male,"J1,J2,J3,J4,J5,J6",Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
USB_B_Micro,J7,Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,
BME280_(GYBMEP),J8,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
BC807,Q1,Package_TO_SOT_SMD:SOT-23,C8587
BC817,Q3,Package_TO_SOT_SMD:SOT-23,C118725
MMDT3904,"Q2,Q4",Package_TO_SOT_SMD:SOT-363_SC-70-6,C155305
10k,"R1,R21,R22",Resistor_SMD:R_0805_2012Metric,C17414
4k7,"R2,R3",Resistor_SMD:R_0805_2012Metric,C17673
27R,"R19,R20",Resistor_SMD:R_0805_2012Metric,C17594
1k,"R23,R26",Resistor_SMD:R_0805_2012Metric,C17513
3k9,"R15,R24",Resistor_SMD:R_0805_2012Metric,C17614
2k37,R25,Resistor_SMD:R_0805_2012Metric,C17523
22k1,R27,Resistor_SMD:R_0805_2012Metric,C17518
47k5,R28,Resistor_SMD:R_0805_2012Metric,C26011
R,"R29,R30",Resistor_SMD:R_0805_2012Metric,C17630
68k,"R4,R5,R6,R7,R12,R13,R14",Resistor_SMD:R_0805_2012Metric,C17801
30k,"R8,R9,R10,R11,R16,R17,R18",Resistor_SMD:R_0805_2012Metric,C17621
RESET,SW1,Button_Switch_SMD:SW_SPST_FSMSM,C354943
ESP32-WROOM-32,U1,RF_Module:ESP32-WROOM-32,C473012
MCP73123,U2,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,
CP2102N-A01-GQFN28,U3,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C105167
BME280,U4,Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,
