Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470μF","CP_Elec_6.3x7.7",42.100000,-83.700000,270.000000,top
"C2","22μF","C_0805_2012Metric",41.200000,-89.600000,0.000000,top
"C3","100nF","C_0805_2012Metric",41.500000,-69.300000,180.000000,top
"C4","100nF","C_0805_2012Metric",45.100000,-69.600000,0.000000,top
"C5","4.7μF","C_0805_2012Metric",40.100000,-43.500000,90.000000,top
"C6","4.7μF","C_0805_2012Metric",61.300000,-36.700000,0.000000,top
"C7","100nF","C_0805_2012Metric",61.300000,-34.800000,0.000000,top
"C8","47pF","C_0805_2012Metric",60.300000,-43.000000,0.000000,top
"C9","47pF","C_0805_2012Metric",60.300000,-41.100000,0.000000,top
"C11","100nF","C_0805_2012Metric",61.700000,-51.200000,0.000000,top
"C12","100nF","C_0805_2012Metric",57.900000,-45.700000,270.000000,top
"D1","CHARGING","LED_0805_2012Metric",44.700000,-47.500000,0.000000,top
"J7","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",57.250000,-30.800000,180.000000,top
"Q1","BC807","SOT-23",58.300000,-70.400000,90.000000,top
"Q2","MMDT3904","SOT-363_SC-70-6",48.900000,-32.700000,90.000000,top
"Q3","BC817","SOT-23",48.000000,-44.700000,270.000000,top
"Q4","MMDT3904","SOT-363_SC-70-6",53.500000,-42.000000,180.000000,top
"R1","10k","R_0805_2012Metric",43.300000,-71.600000,0.000000,top
"R2","4k7","R_0805_2012Metric",51.500000,-46.900000,180.000000,top
"R3","4k7","R_0805_2012Metric",54.900000,-47.900000,180.000000,top
"R4","68k","R_0805_2012Metric",58.150800,-93.400000,0.000000,top
"R5","68k","R_0805_2012Metric",58.150800,-83.250800,0.000000,top
"R6","68k","R_0805_2012Metric",58.150800,-73.250800,0.000000,top
"R7","68k","R_0805_2012Metric",62.000000,-68.400000,0.000000,top
"R8","30k","R_0805_2012Metric",57.450800,-97.350800,270.000000,top
"R9","30k","R_0805_2012Metric",57.450800,-87.450800,270.000000,top
"R10","30k","R_0805_2012Metric",57.450800,-77.450800,270.000000,top
"R11","30k","R_0805_2012Metric",62.000000,-66.400000,0.000000,top
"R12","68k","R_0805_2012Metric",45.900000,-98.500000,180.000000,top
"R13","68k","R_0805_2012Metric",45.900000,-88.400000,180.000000,top
"R14","68k","R_0805_2012Metric",45.900000,-78.400000,180.000000,top
"R15","3k9","R_0805_2012Metric",54.700000,-70.300000,0.000000,top
"R16","30k","R_0805_2012Metric",46.500000,-94.200000,90.000000,top
"R17","30k","R_0805_2012Metric",46.700000,-84.200000,270.000000,top
"R18","30k","R_0805_2012Metric",46.500000,-74.200000,90.000000,top
"R19","27R","R_0805_2012Metric",56.900000,-43.000000,180.000000,top
"R20","27R","R_0805_2012Metric",56.900000,-40.000000,0.000000,top
"R21","10k","R_0805_2012Metric",47.600000,-29.900000,0.000000,top
"R22","10k","R_0805_2012Metric",45.400000,-32.000000,180.000000,top
"R23","1k","R_0805_2012Metric",48.100000,-47.500000,180.000000,top
"R24","3k9","R_0805_2012Metric",50.800000,-44.200000,90.000000,top
"R25","2k37","R_0805_2012Metric",53.600000,-44.900000,0.000000,top
"R26","1k","R_0805_2012Metric",54.900000,-38.000000,180.000000,top
"R27","22k1","R_0805_2012Metric",51.800000,-34.000000,180.000000,top
"R28","47k5","R_0805_2012Metric",54.800000,-36.000000,0.000000,top
"R29","R","R_0805_2012Metric",42.900000,-41.100000,180.000000,top
"R30","R","R_0805_2012Metric",42.900000,-35.400000,180.000000,top
"RX","RX","LED_0805_2012Metric",42.900000,-37.300000,180.000000,top
"SW1","RESET","SW_SPST_FSMSM",62.050000,-58.350000,90.000000,top
"TX","TX","LED_0805_2012Metric",42.900000,-39.200000,180.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",49.400000,-58.500000,90.000000,top
"U2","MCP73123","DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm",43.500000,-44.500000,0.000000,top
"U3","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",48.300000,-38.500000,180.000000,top
"U4","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",60.300000,-46.700000,180.000000,top
